continent,year,lifeExp,pop,gdpPercap
Americas,1952,40.414,2883315,2677.326347
Americas,1957,41.89,3211738,2127.686326
Americas,1962,43.428,3593918,2180.972546
Americas,1967,45.032,4040665,2586.886053
Americas,1972,46.714,4565872,2980.331339
Americas,1977,50.023,5079716,3548.097832
Americas,1982,53.859,5642224,3156.510452
Americas,1987,57.251,6156369,2753.69149
Americas,1992,59.957,6893451,2961.699694
Americas,1997,62.05,7693188,3326.143191
Americas,2002,63.883,8445134,3413.26269
Americas,2007,65.554,9119152,3822.137084
