continent,year,lifeExp,pop,gdpPercap
Asia,1952,44,556263527,400.448611
Asia,1957,50.54896,637408000,575.9870009
Asia,1962,44.50136,665770000,487.6740183
Asia,1967,58.38112,754550000,612.7056934
Asia,1972,63.11888,862030000,676.9000921
Asia,1977,63.96736,943455000,741.2374699
Asia,1982,65.525,1000281000,962.4213805
Asia,1987,67.274,1084035000,1378.904018
Asia,1992,68.69,1164970000,1655.784158
Asia,1997,70.426,1230075000,2289.234136
Asia,2002,72.028,1280400000,3119.280896
Asia,2007,72.961,1318683096,4959.114854
