continent,year,lifeExp,pop,gdpPercap
Americas,1952,59.421,6007797,5586.53878
Americas,1957,62.325,6640752,6092.174359
Americas,1962,65.246,7254373,5180.75591
Americas,1967,68.29,8139332,5690.268015
Americas,1972,70.723,8831348,5305.445256
Americas,1977,72.649,9537988,6380.494966
Americas,1982,73.717,9789224,7316.918107
Americas,1987,74.174,10239839,7532.924763
Americas,1992,74.414,10723260,5592.843963
Americas,1997,76.151,10983007,5431.990415
Americas,2002,77.158,11226999,6340.646683
Americas,2007,78.273,11416987,8948.102923
