continent,year,lifeExp,pop,gdpPercap
Americas,1952,41.912,1517453,2194.926204
Americas,1957,44.665,1770390,2220.487682
Americas,1962,48.041,2090162,2291.156835
Americas,1967,50.924,2500689,2538.269358
Americas,1972,53.884,2965146,2529.842345
Americas,1977,57.402,3055235,3203.208066
Americas,1982,60.909,3669448,3121.760794
Americas,1987,64.492,4372203,3023.096699
Americas,1992,66.399,5077347,3081.694603
Americas,1997,67.659,5867957,3160.454906
Americas,2002,68.565,6677328,3099.72866
Americas,2007,70.198,7483763,3548.330846
