continent,year,lifeExp,pop,gdpPercap
Asia,1952,37.468,82052000,749.6816546
Asia,1957,39.918,90124000,858.9002707
Asia,1962,42.518,99028000,849.2897701
Asia,1967,45.964,109343000,762.4317721
Asia,1972,49.203,121282000,1111.107907
Asia,1977,52.702,136725000,1382.702056
Asia,1982,56.159,153343000,1516.872988
Asia,1987,60.137,169276000,1748.356961
Asia,1992,62.681,184816000,2383.140898
Asia,1997,66.041,199278000,3119.335603
Asia,2002,68.588,211060000,2873.91287
Asia,2007,70.65,223547000,3540.651564
