continent,year,lifeExp,pop,gdpPercap
Americas,1952,50.789,30144317,3478.125529
Americas,1957,55.19,35015548,4131.546641
Americas,1962,58.299,41121485,4581.609385
Americas,1967,60.11,47995559,5754.733883
Americas,1972,62.361,55984294,6809.40669
Americas,1977,65.032,63759976,7674.929108
Americas,1982,67.405,71640904,9611.147541
Americas,1987,69.498,80122492,8688.156003
Americas,1992,71.455,88111030,9472.384295
Americas,1997,73.67,95895146,9767.29753
Americas,2002,74.902,102479927,10742.44053
Americas,2007,76.195,108700891,11977.57496
