continent,year,lifeExp,pop,gdpPercap
Oceania,1952,69.39,1994794,10556.57566
Oceania,1957,70.26,2229407,12247.39532
Oceania,1962,71.24,2488550,13175.678
Oceania,1967,71.52,2728150,14463.91893
Oceania,1972,71.89,2929100,16046.03728
Oceania,1977,72.22,3164900,16233.7177
Oceania,1982,73.84,3210650,17632.4104
Oceania,1987,74.32,3317166,19007.19129
Oceania,1992,76.33,3437674,18363.32494
Oceania,1997,77.55,3676187,21050.41377
Oceania,2002,79.11,3908037,23189.80135
Oceania,2007,80.204,4115771,25185.00911
