continent,year,lifeExp,pop,gdpPercap
Americas,1952,55.191,940080,2480.380334
Americas,1957,59.201,1063506,2961.800905
Americas,1962,61.817,1215725,3536.540301
Americas,1967,64.071,1405486,4421.009084
Americas,1972,66.216,1616384,5364.249663
Americas,1977,68.681,1839782,5351.912144
Americas,1982,70.472,2036305,7009.601598
Americas,1987,71.523,2253639,7034.779161
Americas,1992,72.462,2484997,6618.74305
Americas,1997,73.738,2734531,7113.692252
Americas,2002,74.712,2990875,7356.031934
Americas,2007,75.537,3242173,9809.185636
