continent,year,lifeExp,pop,gdpPercap
Europe,1952,64.94,28549870,3834.034742
Europe,1957,66.66,29841614,4564.80241
Europe,1962,69.69,31158061,5693.843879
Europe,1967,71.44,32850275,7993.512294
Europe,1972,73.06,34513161,10638.75131
Europe,1977,74.39,36439000,13236.92117
Europe,1982,76.3,37983310,13926.16997
Europe,1987,76.9,38880702,15764.98313
Europe,1992,77.57,39549438,18603.06452
Europe,1997,78.77,39855442,20445.29896
Europe,2002,79.78,40152517,24835.47166
Europe,2007,80.941,40448191,28821.0637
