continent,year,lifeExp,pop,gdpPercap
Africa,1952,38.635,8504667,1615.991129
Africa,1957,39.624,9753392,1770.337074
Africa,1962,40.87,11183227,1959.593767
Africa,1967,42.858,12716129,1687.997641
Africa,1972,45.083,14597019,1659.652775
Africa,1977,47.8,17104986,2202.988423
Africa,1982,50.338,20367053,1895.544073
Africa,1987,51.744,24725960,1507.819159
Africa,1992,53.556,28227588,1492.197043
Africa,1997,55.373,32160729,1632.210764
Africa,2002,56.369,37090298,1993.398314
Africa,2007,58.556,42292929,2602.394995
