continent,year,lifeExp,pop,gdpPercap
Europe,1952,43.585,22235677,1969.10098
Europe,1957,48.079,25670939,2218.754257
Europe,1962,52.098,29788695,2322.869908
Europe,1967,54.336,33411317,2826.356387
Europe,1972,57.005,37492953,3450.69638
Europe,1977,59.507,42404033,4269.122326
Europe,1982,61.036,47328791,4241.356344
Europe,1987,63.108,52881328,5089.043686
Europe,1992,66.146,58179144,5678.348271
Europe,1997,68.835,63047647,6601.429915
Europe,2002,70.845,67308928,6508.085718
Europe,2007,71.777,71158647,8458.276384
