continent,year,lifeExp,pop,gdpPercap
Americas,1952,66.071,2252965,5716.766744
Americas,1957,67.044,2424959,6150.772969
Americas,1962,68.253,2598466,5603.357717
Americas,1967,68.468,2748579,5444.61962
Americas,1972,68.673,2829526,5703.408898
Americas,1977,69.481,2873520,6504.339663
Americas,1982,70.805,2953997,6920.223051
Americas,1987,71.918,3045153,7452.398969
Americas,1992,72.752,3149262,8137.004775
Americas,1997,74.223,3262838,9230.240708
Americas,2002,75.307,3363085,7727.002004
Americas,2007,76.384,3447496,10611.46299
